mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1559455394744873,0.011288181661727894,0.006744956970214844,0.001162491072943051,100,5,2,log2,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30}",0.8775510204081632,0.7959183673469388,0.8541666666666666,0.7708333333333334,0.8125,0.8221938775510204,0.038752939785094156,1
0.14881386756896972,0.010620992039746539,0.007879066467285156,0.0010779150540443131,100,10,4,log2,30,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30}",0.9183673469387755,0.7755102040816326,0.8333333333333334,0.7708333333333334,0.7916666666666666,0.8179421768707483,0.05483105027471507,4
0.14390263557434083,0.010876690031245419,0.0066907405853271484,0.0013753891437563838,100,5,1,log2,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",0.9183673469387755,0.7551020408163265,0.8125,0.75,0.7916666666666666,0.8055272108843538,0.06099114641294607,32
0.13542823791503905,0.01050596769562558,0.0072399616241455075,0.0016385108973147873,100,10,2,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",0.9183673469387755,0.7755102040816326,0.7708333333333334,0.7916666666666666,0.7916666666666666,0.8096088435374149,0.05502456340244502,22
0.13628783226013183,0.010303925806446092,0.007227468490600586,0.0021355733084178897,100,10,2,sqrt,,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.9183673469387755,0.7755102040816326,0.7708333333333334,0.7916666666666666,0.7916666666666666,0.8096088435374149,0.05502456340244502,22
0.1414201259613037,0.00901246661783468,0.006732034683227539,0.0013167535125884738,100,5,1,sqrt,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",0.9183673469387755,0.7551020408163265,0.8125,0.75,0.7916666666666666,0.8055272108843538,0.06099114641294607,32
0.4070436954498291,0.03012666750444644,0.01599287986755371,0.003903519309976467,300,2,4,sqrt,30,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",0.8775510204081632,0.7755102040816326,0.8125,0.7708333333333334,0.7916666666666666,0.8056122448979591,0.03881446455997088,26
0.26241130828857423,0.014070432501666872,0.010538864135742187,0.0018630846895029628,200,2,4,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10}",0.8979591836734694,0.7755102040816326,0.8541666666666666,0.7708333333333334,0.7708333333333334,0.8138605442176872,0.05266990603126259,9
0.2690854549407959,0.012162367654546655,0.009630155563354493,0.0022426716697894044,200,10,2,log2,30,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30}",0.8979591836734694,0.7755102040816326,0.8125,0.75,0.7708333333333334,0.8013605442176871,0.05233247712787696,44
0.2690443515777588,0.013816776635745728,0.011032390594482421,0.0014683641364858007,200,5,1,log2,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",0.8775510204081632,0.7959183673469388,0.7916666666666666,0.75,0.8125,0.8055272108843538,0.04148195905476437,32
0.13427252769470216,0.011672263977429216,0.006735992431640625,0.0014001508200605548,100,10,4,log2,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",0.9183673469387755,0.7755102040816326,0.8333333333333334,0.7708333333333334,0.7916666666666666,0.8179421768707483,0.05483105027471507,4
0.14460434913635253,0.010506821179690312,0.007187318801879883,0.0018011637924048398,100,5,1,log2,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.9183673469387755,0.7551020408163265,0.8125,0.75,0.7916666666666666,0.8055272108843538,0.06099114641294607,32
0.28872175216674806,0.02046165843622773,0.009904813766479493,0.0025661710387757564,200,2,1,log2,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30}",0.8571428571428571,0.7755102040816326,0.8541666666666666,0.7291666666666666,0.7916666666666666,0.801530612244898,0.048732280247664246,39
0.14554944038391113,0.008438110695932909,0.007365131378173828,0.0017854654958306643,100,2,2,sqrt,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.8571428571428571,0.7959183673469388,0.8333333333333334,0.75,0.7916666666666666,0.8056122448979591,0.036891828198520396,26
0.2699606418609619,0.018256130454680858,0.00999464988708496,0.0018646867852917688,200,5,2,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",0.8775510204081632,0.7959183673469388,0.8333333333333334,0.75,0.8125,0.8138605442176872,0.04204190331685926,9
