,model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,"LogisticRegression(max_iter=1000, random_state=42)",0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9448051948051948
Decision Tree,DecisionTreeClassifier(random_state=42),0.6885245901639344,0.6216216216216216,0.8214285714285714,0.7076923076923077,0.6985930735930734
Random Forest,RandomForestClassifier(random_state=42),0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9453463203463204
SVM,"SVC(probability=True, random_state=42)",0.8360655737704918,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.9307359307359307
